time_ms,ax,ay,az,gx,gy,gz,temp
7840,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7897,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
7954,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8011,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8068,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8125,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8182,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8239,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8296,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8353,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8410,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8467,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8524,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8581,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8638,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8695,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8752,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8809,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8866,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8923,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
8980,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9037,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9094,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9151,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9208,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9265,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9322,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9379,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9436,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9493,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9550,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9607,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9664,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9721,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9778,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9835,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9892,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
9949,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10006,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10063,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10120,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10177,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10234,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10291,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10348,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10405,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10462,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10519,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10576,5.39,-16.18,13.73,0.00,0.00,0.00,24.00
10633,1.96,-16.18,13.73,0.00,0.00,0.00,24.00
10690,-2.45,-16.18,13.73,0.00,0.00,0.00,24.00
10747,-4.41,-16.18,13.73,0.00,0.00,0.00,24.00
10804,-5.88,-16.18,13.73,0.00,0.00,0.00,24.00
10861,-6.37,-16.18,13.73,0.00,0.00,0.00,24.00
10918,-6.86,-16.18,13.73,0.00,0.00,0.00,24.00
10975,-6.86,-16.18,13.73,0.00,0.00,0.00,24.00
11032,-7.35,-16.18,13.73,0.00,0.00,0.00,24.00
11089,-7.85,-16.18,13.73,0.00,0.00,0.00,24.00
11146,-8.34,-16.18,13.73,0.00,0.00,0.00,24.00
11203,-8.34,-16.18,13.73,0.00,0.00,0.00,24.00
11260,-9.32,-16.18,13.73,0.00,0.00,0.00,24.00
11317,-9.81,-16.18,13.73,0.00,0.00,0.00,24.00
11374,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11431,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11488,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11545,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11602,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11659,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11716,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11773,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11830,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11887,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
11944,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12001,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12058,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12115,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12172,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12229,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12286,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12343,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12400,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12457,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12514,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12571,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12628,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12685,-10.79,-16.18,13.73,0.00,0.00,0.00,24.00
12742,-10.79,-5.88,13.73,0.00,0.00,0.00,24.00
12799,-10.79,1.47,13.73,0.00,0.00,0.00,24.00
12856,-10.79,5.39,13.73,0.00,0.00,0.00,24.00
12913,-10.79,6.86,13.73,0.00,0.00,0.00,24.00
12970,-10.79,7.85,13.73,0.00,0.00,0.00,24.00
13027,-10.79,10.30,13.73,0.00,0.00,0.00,24.00
13084,-10.79,11.77,13.73,0.00,0.00,0.00,24.00
13141,-10.79,11.77,13.73,0.00,0.00,0.00,24.00
13198,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13255,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13312,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13369,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13426,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13483,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13540,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13597,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13654,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13711,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13768,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13825,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13882,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13939,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
13996,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
14053,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
14110,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
14167,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
14224,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
14281,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
14338,-10.79,12.26,13.73,0.00,0.00,0.00,24.00
14395,-10.79,12.26,11.77,0.00,0.00,0.00,24.00
14452,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
14509,-10.79,12.26,5.88,0.00,0.00,0.00,24.00
14566,-10.79,12.26,5.39,0.00,0.00,0.00,24.00
14623,-10.79,12.26,5.39,0.00,0.00,0.00,24.00
14680,-10.79,12.26,5.39,0.00,0.00,0.00,24.00
14737,-10.79,12.26,5.39,0.00,0.00,0.00,24.00
14794,-10.79,12.26,4.90,0.00,0.00,0.00,24.00
14851,-10.79,12.26,4.90,0.00,0.00,0.00,24.00
14908,-10.79,12.26,4.90,0.00,0.00,0.00,24.00
14965,-10.79,12.26,4.90,0.00,0.00,0.00,24.00
15022,-10.79,12.26,5.39,0.00,0.00,0.00,24.00
15079,-10.79,12.26,6.86,0.00,0.00,0.00,24.00
15136,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15193,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15250,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15307,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15364,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15421,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15478,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15535,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15592,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15649,-10.79,12.26,7.35,0.00,0.00,0.00,24.00
15706,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
15763,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
15820,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
15877,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
15934,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
15991,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
16048,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
16105,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
16162,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
16219,-10.79,12.26,7.85,0.00,0.00,0.00,24.00
16276,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16333,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16390,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16447,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16504,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16561,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16618,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16675,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16732,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16789,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16846,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16903,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
16960,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17017,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17074,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17131,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17188,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17245,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17302,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17359,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17416,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17473,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17530,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17587,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17644,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17701,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17758,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17815,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17872,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17929,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
17986,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18043,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18100,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18157,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18214,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18271,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18328,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18385,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18442,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18499,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18556,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18613,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18670,-10.79,12.26,8.83,0.00,0.00,0.00,24.00
18727,-1.47,12.26,8.83,0.00,0.00,0.00,24.00
18784,6.86,12.26,8.83,0.00,0.00,0.00,24.00
18841,11.28,12.26,8.83,0.00,0.00,0.00,24.00
18898,13.73,12.26,8.83,0.00,0.00,0.00,24.00
18955,15.20,12.26,8.83,0.00,0.00,0.00,24.00
19012,15.69,12.26,8.83,0.00,0.00,0.00,24.00
19069,15.69,12.26,8.83,0.00,0.00,0.00,24.00
19126,16.67,12.26,8.83,0.00,0.00,0.00,24.00
19183,16.67,12.26,8.83,0.00,0.00,0.00,24.00
19240,17.16,12.26,8.83,0.00,0.00,0.00,24.00
19297,17.16,12.26,8.83,0.00,0.00,0.00,24.00
19354,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19411,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19468,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19525,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19582,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19639,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19696,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19753,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19810,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19867,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19924,17.65,12.26,8.83,0.00,0.00,0.00,24.00
19981,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20038,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20095,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20152,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20209,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20266,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20323,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20380,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20437,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20494,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20551,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20608,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20665,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20722,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20779,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20836,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20893,17.65,12.26,8.83,0.00,0.00,0.00,24.00
20950,17.65,9.81,8.83,0.00,0.00,0.00,24.00
21007,17.65,5.88,8.83,0.00,0.00,0.00,24.00
21064,17.65,4.41,8.83,0.00,0.00,0.00,24.00
21121,17.65,3.43,8.83,0.00,0.00,0.00,24.00
21178,17.65,1.96,8.83,0.00,0.00,0.00,24.00
21235,17.65,-1.96,8.83,0.00,0.00,0.00,24.00
21292,17.65,-2.45,8.83,0.00,0.00,0.00,24.00
21349,17.65,-3.92,8.83,0.00,0.00,0.00,24.00
21406,17.65,-4.90,8.83,0.00,0.00,0.00,24.00
21463,17.65,-4.90,8.83,0.00,0.00,0.00,24.00
21520,17.65,-6.86,8.83,0.00,0.00,0.00,24.00
21577,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
21634,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
21691,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
21748,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
21805,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
21862,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
21919,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
21976,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22033,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22090,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22147,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22204,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22261,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22318,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22375,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22432,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22489,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22546,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22603,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22660,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22717,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22774,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22831,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22888,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
22945,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23002,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23059,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23116,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23173,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23230,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23287,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23344,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23401,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23458,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23515,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23572,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23629,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23686,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23743,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23800,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23857,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23914,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
23971,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24028,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24085,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24142,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24199,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24256,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24313,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24370,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24427,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24484,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24541,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24598,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24655,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24712,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24769,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24826,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24883,17.65,-9.81,8.83,0.00,0.00,0.00,24.00
24940,17.65,-9.81,9.32,0.00,0.00,0.00,24.00
24997,17.65,-9.81,10.30,0.00,0.00,0.00,24.00
25054,17.65,-9.81,10.79,0.00,0.00,0.00,24.00
25111,17.65,-9.81,10.79,0.00,0.00,0.00,24.00
25168,17.65,-9.81,11.28,0.00,0.00,0.00,24.00
